	1	
나도 꼭 보고 싶어. 어디에서 공연하는지 알아?	玛丽：我也很想看。你知道哪儿演吗? 	mǎlì ：wǒ yě hěn xiǎng kàn 。 nǐ zhīdào nǎr yǎn mǎ ? 
인민극장에서 항상 공연한대.	大卫：人民剧场常演。 	dàwèi ：rénmínjùchǎng chángyǎn 。 
그러면 우리 토요일에 보러 가자. 어때?	玛丽：那我们星期六去看，好不好? 	mǎlì ：nà wǒmen xīngqīliù qù kàn ， hǎobuhǎo ? 
물론 좋지. 내일 내가 표를 사러 갈께.	大卫：当然好。明天我去买票。 	dàwèi ：dāngrán hào 。 míngtiān wǒ qù mǎipiào 。 
표를 사게 되면 나한테 알려줘.	玛丽：买到票以后告诉我。 	mǎlì ：mǎidào piào yǐhòu gàosu wǒ 。 
알았어.	大卫：好。 	dàwèi ：hào 。 
32	32	
오리구이가 베이징의 유명한 요리라고 하던데	和子：听说，烤鸭是北京的名菜。 	hézi ：tīngshuō ， kǎoyā shì běijīng de míngcài 。 
난 아직도 못 먹어봤어!	玛丽：我还没吃过呢	mǎlì ：wǒ hái mòchīguò ní
우리 꼭 가서 먹어보자.	和子：我们应该去尝一尝。 	hézi ：wǒmen yīnggāi qù chángyīcháng 。 
28일 저녁에 난 시간이 비거든. 너는?	玛丽：二十八号晚上我没事，你呢？ 	mǎlì ：èrshíbā hào wǎnshàng wǒ méishì ， nǐ ní ？ 
안돼. 친구가 나를 만나러 오기로 했거든.	和子：不行，有朋友来看我。 	hézi ：bùxíng ， yǒu péngyou láikàn wǒ 。 
30일 저녁은 어때?	玛丽：三十号晚上怎么样? 	mǎlì ：sānshí hào wǎnshàng zěnmeyàng ? 
괜찮아.	和子：可以。 	hézi ：kěyǐ 。 
33	33	
요즘은 날씨가 참 좋다. 우리 놀러 나가자.	张丽英 : 这两天天气很好。我们出去玩儿玩儿吧。 	zhānglìyīng : zhè liǎngtiān tiānqì hěn hào 。 wǒmen chūqù wánr wánr bā 。 
어디로 놀러 가는 게 좋을까?	和子 : 去哪儿玩儿好呢? 	hézi : qù nǎr wánr hào ní ? 
북해공원에 가서 꽃구경도 하고 뱃놀이도 하면 정말 좋겠다!	张丽英 : 去北海公园，看看花，划划船，多好啊! 	zhānglìyīng : qù běihǎigōngyuán ， kànkan huā ， huà huáchuán ， duōhào a ! 
난 지난주에 가봤어. 다른 곳에 가자.	和子 : 上星期我去过了，去别的地方吧。 	hézi : shàngxīngqī wǒ qùguò le ， qù biéde dìfāng bā 。 
동물원에 가는 건 어때?	张丽英 : 去动物园怎么样? 	zhānglìyīng : qù dòngwùyuán zěnmeyàng ? 
좋아. 팬더곰도 볼 수 있잖아.	和子 : 行，还可以看看熊貓呢。 	hézi : xíng ， hái kěyǐ kànkan xióngmāo ní 。 
어떻게 갈까?	张丽英 : 我们怎么去? 	zhānglìyīng : wǒmen zěnme qù ? 
자전거 타고 가자.	和子 : 骑自行车去吧 	hézi : qí zìxíngchē qù bā 
34	34	
너 리청르 아니?	和子 : 你认识李成日吗? 	 hézi : nǐ rènshi lǐchéng rì mǎ ? 
당연히 알지. 작년에 여기에서 중국어를 배웠었거든.	刘京 : 当然认识。去年他在这儿学过汉语	liújīng : dāngrán rènshi 。 qùnián tā zai zhèr xuéguò hànyǔ
알고 있어? 그가 내일 베이징에 와.	和子 : 你知道吗? 明天他来北京。 	hézi : nǐ zhīdào mǎ ? míngtiān tālái běijīng 。 
몰랐어. 오전에 도착한대, 아니면 오후에 도착한대?	刘京 : 不知道。他上午到还是下午到? 	liújīng : bù zhīdào 。 tā shàngwǔ dào háishi xiàwǔ dào ? 
오후 2시에. 공항으로 마중 나갈거야.	和子 : 下午两点，我去机场接他。 	hézi : xiàwǔ liǎngdiǎn ， wǒ qù jīchǎng jiē tā 。 
내일 오후에 수업이 없으니까 나도 너랑 같이 갈게.	刘京 : 明天下午没有课，我跟你一起去。 	liújīng : míngtiān xiàwǔ méiyǒu kè ， wǒ gēn nǐ yīqǐ qù 。 
좋아.	和子 : 好的。 	hézi : hào de 。 
언제 갈 건데?	刘京 : 什么时候去? 	liújīng : shénme shíhou qù ? 
1시에 가자.	和子 : 一点吧。 	hézi : yīdiǎn bā 。 
35	35	
도쿄발 비행기가 도착했나요?	和子：从东京来的飞机到了吗? 	hézi ：cóng dōngjīng lái de fēijī dào le mǎ ? 
아직 도착하지 않았습니다.	服务员：还没到。 	fúwùyuán ：hái mòdào 。 
왜요?	和子：为什么? 	hézi ：wèishénme ? 
연착되었습니다. 비행기는 지금 상하이에 있습니다.	服务员：晚点了。飞机现在在上海。 	fúwùyuán ：wǎndiǎn le 。 fēijī xiànzài zai shànghǎi 。 
이륙했나요?	和子：起飞了吗?	hézi ：qǐfēi le mǎ ?
곧 이륙할 것입니다.	服务员：快要起飞了。 	fúwùyuán ：kuàiyào qǐfēi le 。 
언제쯤 도착하죠?	和子：什么时候能到? 	hézi ：shénme shíhou néng dào ? 
아마 3시 반 경이면 도착할 수 있을 것입니다.	服务员：大概三点半能到。 	fúwùyuán ：dàgài sāndiǎn bànnéng dào 。 
리우징, 우리 우선 가서 물 좀 마시고 조금 있다가 다시 오자.	和子：刘京，我们先去喝点儿水，一会儿再来这儿吧。 	hézi ：liújīng ， wǒmen xiānqù hē diǎnr shuǐ ， yīhuìr zài lái zhèr bā 。 
36	36	
봐. 리청르가 왔어.	和子：你看，李成日来了。 	hézi ：nǐ kàn ， lǐchéng rìlái le 。 
안녕! 오느라고 수고했어.	刘京：你好！路上辛苦了。 	liújīng ：nǐhǎo ！ lùshang xīnkǔ le 。 
안녕! 리우징, 내가 올 거라는 걸 어떻게 알았어?	李成日：你们好！刘京，你怎么知道我要来? 	lǐchéng rì ：nǐmenhào ！ liújīng ， nǐ zěnme zhīdào wǒyào lái ? 
가즈코가 가르쳐줬어.	刘京：是和子告诉我的。 	liújīng ：shì hé zi gàosu wǒ de 。 
마중 나와줘서 고마워.	李成日：感谢你们来接我。 	lǐchéng rì ：gǎnxiè nǐmen láijiē wǒ 。 
우리 나가자!	和子：我们出去吧! 	hézi ：wǒmen chūqù bā ! 
잠깐 기다려. 무역회사 사람이 마중 나오기로 했거든.	李成日：等一等，还有贸易公司的人接我呢。 	lǐchéng rì ：děngyīděng ， háiyǒu màoyì gōngsī de rénjiē wǒ ní 。 
그래. 우린 여기서 널 기다릴께.	刘京：好，我们在这儿等你。 	liújīng ：hào ， wǒmen zai zhèr děng nǐ 。 
37	37	
안녕하십니까! 리선생님. 저는 회사의 통역인 왕따니엔이라고 합니다.	王：您好！李先生。我是王大年，公司的翻译。	wáng ：nínhǎo ！ lixiānshēng 。 wǒ shì wángdànián ， gōngsī de fānyì 。
마중 나와주셔서 감사합니다.	李：谢谢您来接我。 	lǐ ：xièxiènín láijiē wǒ 。 
천만에요. 오시느라 수고하셨습니다.	王：别客气，路上辛苦了。 	wáng ：bié kèqi ， lùshang xīnkǔ le 。 
조금도 피곤하지 않습니다. 오는 길은 순조로웠습니다.	李：一点儿也不累，很顺利。 	lǐ ：yīdiǎnr yě bùlèi ， hěn shùnlì 。 
차는 바깥에 있습니다. 우리가 당신을 호텔까지 모셔다 드리겠습니다.	王：汽车在外边，我们送您去饭店。 	wáng ：qìchē zai wàibian ， wǒmen sòng nín qù fàndiàn 。 
제 친구 두 명이 같이 있는데요.	李：我还有两个朋友。 	lǐ ：wǒ háiyǒu liǎnggè péngyou 。 
그럼 함께 가죠.	王：那一起走吧。 	wáng ：nà yīqǐ zǒu bā 。 
감사합니다.	李：谢谢! 	lǐ ：xièxie ! 
38	38	
환영합니다. 리선생님.	经理：欢迎您！李先生。 	jīnglǐ ：huānyíngnín ！ lixiānshēng 。 
감사합니다.	李：谢谢! 	lǐ ：xièxie ! 
당신은 중국에 처음 오신 건가요?	经理：您第一次来中国吗? 	jīnglǐ ：nín dìyīcì lái zhōngguó mǎ ? 
아닙니다. 이전에 온 적이 있습니다. 이것은 저희 사장님께서 당신에게 드리는 편지입니다.	李：不，我以前来过两次。这是我们经理给您的信。 	lǐ ：bù ， wǒ yǐqián láiguò liǎngcì 。 zhèshì wǒmen jīnglǐ gěi nín de xìn 。 
수고하셨습니다.	经理：麻烦您了。 	jīnglǐ ：máfan nín le 。 
사장님께 안부를 전해드리라고 하셨습니다.	李：他问您好。 	lǐ ：tā wèn nínhǎo 。 
감사합니다. 오늘 베이징호텔에서 당신께 저녁식사를 대접하겠습니다.	经理：谢谢。今天我们在北京饭店请您吃晚饭。 	jīnglǐ ：xièxie 。 jīntiān wǒmen zai běijīngfàndiàn qǐng nín chīwǎnfàn 。 
너무 잘해주셔서 몸둘바를 모르겠습니다.	李：您太客气了，真不好意思。 	lǐ ：nín tài kèqi le ， zhēn bùhǎoyìsi 。 
시간이 있으십니까?	经理：您有时间吗? 	jīnglǐ ：nín yǒu shíjiān mǎ ? 
오후에 저는 친구에게 갈 것입니다. 저녁에는 일이 없습니다.	李：下午我去朋友那儿。晚上我没事。 	lǐ ：xiàwǔ wǒ qù péngyou nàr 。 wǎnshàng wǒ méishì 。 
우리가 당신을 모시러 가겠습니다.	经理：我们去接您。 	jīnglǐ ：wǒmen qù jiē nín 。 
괜찮습니다. 택시를 타면 됩니다. 친구네 집에서 가겠습니다.	李：不用了，我可以打的，从朋友那儿去。	lǐ ：bùyòng le ， wǒ kěyǐ dǎ de ， cóng péngyou nàr qù 。
39	39	
리선생님, 여기 앉으세요.	翻译：李先生，请这儿坐。 	fānyì ：lixiānshēng ， qǐng zhèr zuò 。 
감사합니다.	李：谢谢! 	lǐ ：xièxie ! 
요즘 어떻게 지내십니까?	经理：这两天过得怎么样? 	jīnglǐ ：zhè liǎngtiān guòdé zěnmeyàng ? 
아주 즐겁게 지내고 있습니다.	李：过得很愉快。 	lǐ ：guòdé hěn yúkuài 。 
어떤 술을 좋아하시죠?	翻译：您喜欢喝什么酒? 	fānyì ：nín xǐhuān hē shénme jiǔ ? 
맥주로 하겠습니다.	李：啤酒吧	lǐ ：píjiǔ bā
이 요리를 드셔보니까 어떠신지요?	经理：您尝尝这个菜怎么样? 	jīnglǐ ：nín chángcháng zhège cài zěnmeyàng ? 
정말 맛있네요.	李：很好吃。 	lǐ ：hěn hàochī 。 
사양말고 드십시오.	经理：吃啊，别客气。 	jīnglǐ ：chī a ， bié kèqi 。 
그럼 잘 먹겠습니다.	李：不客气	lǐ ：bù kèqi
자, 우리의 우정을 위해 건배합시다!	经理：来，为我们的友谊干杯! 	jīnglǐ ：lái ， wei wǒmen de yǒuyì gānbēi ! 
모두의 건강을 위해서 건배!	翻译：为大家的健康干杯! 	fānyì ：wei dàjiā de jiànkāng gānbēi ! 
건배!	李 : 干杯！ 	lǐ : gānbēi ！ 
40	40	
우리 술 먼저 마시자.	刘京：我们先喝酒吧。 	liújīng ：wǒmen xiān hējiǔ bā 。 
이 생선은 정말 맛있게 요리되었네요.	李成日：这个鱼做得真好吃。 	lǐchéng rì ：zhège yú zuò de zhēn hàochī 。 
집에서처럼 편하게 먹어요.	刘母：你们别客气，像在家一样。 	liúmǔ ：nǐmen bié kèqi ， xiàng zàijiā yīyàng 。 
잘 먹겠습니다.	李成日：我们不客气。 	lǐchéng rì ：wǒmen bù kèqi 。 
만두 좀 드세요.	刘母：吃饺子吧。 	liúmǔ ：chījiǎozi bā 。 
전 만두 먹는 걸 제일 좋아해요.	和子：我最喜欢吃饺子了。 	hézi ：wǒ zuì xǐhuān chījiǎozi le 。 
듣자하니 일본요리를 아주 잘 만든다면서?	刘京：听说你很会做日本菜。 	liújīng ：tīngshuō nǐ hěnhuì zuò rìběn cài 。 
아니야. 잘 못해.	和子：哪儿啊，我做得不好。 	hézi ：nǎr a ， wǒ zuò de bùhǎo 。 
왜 더 안 먹어?	刘京：你怎么不吃了? 	liújīng ：nǐ zěnme bùchī le ? 
난 배부르게 먹었어. 너희들은 천천히 먹어.	和子：吃饱了。你们慢吃。 	hézi ：chībǎo le 。 nǐmen mànchī 。 
41.	41	Loading...
여보세요. 북대 중문과죠?	玛丽：  喂，北大中文系吗？	mǎlì ：     wèi ， běidàzhōngwénxì mǎ ？
예, 중문과입니다. 어느 분을 찾으세요?	中文系：对，我是中文系。您找哪位？	zhōngwénxì ： duì ， wǒ shì zhōngwénxì 。 nín zhǎo nǎwèi ？
리홍교수님 계십니까?	玛丽：  李红老师在吗 ?	mǎlì ：     lihóng lǎoshī zai mǎ   ?
안 계십니다. 아래층에서 복사하고 계십니다. 무슨 일로 찾으시는데요?	中文系：不在。她在楼下复印呢。 您找他有什么事? 	zhōngwénxì ： bùzài 。 tā zai lóuxià fùyìn ní 。   nín zhǎo tā yǒu shénme shì ?  
돌아오시면 저에게 전화 좀 부탁드린다고 전해주시겠습니까? 저는 메리라고 합니다.	玛丽：  她回来以后，请她给我回个电话。我叫玛丽。	mǎlì ：     tā huílai yǐhòu ， qǐng tā gěi wǒ huígè diànhuà 。 wǒ jiào mǎlì 。
알겠습니다. 꼭 전해드리겠습니다. 선생님께서 당신의 전화를 아십니까?	中文系：好，我一定转告她。她知道您的电话了吗? 	zhōngwénxì ： hào ， wǒ yīdìng zhuǎngào tā 。 tā zhīdào nín de diànhuà le mǎ ?  
아십니다. 감사합니다.	玛丽：  知道，谢谢 !	mǎlì ：     zhīdào ， xièxie   !
별말씀을요.	中文系：不客气。	zhōngwénxì ： bù kèqi 。
42	42	
여보세요? 메리니? 방금 네가 나에게 전화했어?	李红: 喂，玛丽吗? 刚才你给我打电话了 ?	lihóng :   wèi ， mǎlì mǎ ?   gāngcái nǐ gěi wǒ dǎdiànhuà le   ?
응, 지금 뭐하고 있어?	玛丽： 是啊，现在你做什么呢 ?	mǎlì ：   shì a ， xiànzài nǐ zuò shénme ní   ?
쉬고 있어.	李红: 在休息呢。	lihóng :   zai xiūxi ní 。
알려줄게, 내일 저녁에 크리스마스파티가 있어, 참가해.	玛丽： 告诉你，明天晚上有个圣诞节晚会，请你参加。	mǎlì ：   gàosu nǐ ， míngtiān wǎnshàng yǒugè shèngdànjié wǎnhuì ， qǐng nǐ cānjiā 。
그래, 꼭 갈게.	李红: 好，我一定去。	lihóng :   hào ， wǒ yīdìng qù 。
저녁 8 시야. 내가 우의호텔 입구에서 기다릴게.	玛丽： 晚上八点，我在友谊宾馆门口等你。	mǎlì ：   wǎnshàng bādiǎn ， wǒ zai yǒuyì bīnguǎn ménkǒu děng nǐ 。
왕선생님도 가시니?	李红: 王老师也去吗?	lihóng :   wánglǎoshī yě qù mǎ ?
가셔, 남편분과 함께 가셔.	玛丽： 去，跟她先生一起去	mǎlì ：   qù ， gēn tā xiānsheng yīqǐ qù
너무 잘됐다.	李红: 那好极了 !	lihóng :   nà hàojíle   !
43	43	
내가 표 두장을 샀거든. 연극 보러 가자.	丽英：我买了两张票。请你看话剧。	lìyīng ： wǒ mǎi le liǎngzhāng piào 。 qǐng nǐ kàn huàjù 。
 그래? 언제 하는 건데?	玛丽：是吗？ 什么时候的？ 	mǎlì ： shì mǎ ？   shénme shíhou de ？  
 오늘 저녁 7 시 15 분이야.	丽英：今天晚上七点一刻的。	lìyīng ： jīntiān wǎnshàng qīdiǎn yīkè de 。
어휴! 정말 공교롭게도 나는 갈 수가 없어. 내일이 시험이어서 저녁에 복습을 해야 하거든.	玛丽：哎呀! 真不巧，我不能去。明天就考试了，晚上要复习。	mǎlì ： āiyā !   zhēn bùqiǎo ， wǒ bùnéng qù 。 míngtiān jiù kǎoshì le ， wǎnshàng yào fùxí 。
 그런 다음에 다시 얘기하자.	丽英：那就以后再说吧	lìyīng ： nà jiù yǐhòu zàishuō bā
44	44	
내일 그림전시회가 있는데 넌 갈 수 있니?	王兰：明天有个画展，你能去吗？	wánglán ： míngtiān yǒugè huàzhǎn ， nǐ néng qù mǎ ？
정말 가고 싶은데, 내일은 약속이 있어.	大卫：我很想去，可是明天有个约会	dàwèi ： wǒ hěn xiǎng qù ， kěshì míngtiān yǒugè yuēhuì
왜? 여자친구랑 데이트해?	王兰：怎么？ 是跟女朋友约会吗？	wánglán ： zěnme ？   shì gēn nǚpéngyou yuēhuì mǎ ？
아니야. 친구가 나를 보러 오기로 해서 그 애를 기다려야 해.	大卫：不是，有个同学来看我，我要等他。	dàwèi ： bùshì ， yǒugè tóngxué láikàn wǒ ， wǒyào děng tā 。
그 애도 베이징에서 공부하고 있어?	王兰：他也在北京学习吗？	wánglán ： tā yě zai běijīng xuéxí mǎ ？
아니야. 막 프랑스에서 왔어. 우리는 꽤 여러 해 동안 만나지 못했어.	大卫：不，刚从法国来。 我们好几年没见面了。	dàwèi ： bù ， gāng cóng fǎguó lái 。   wǒmen hǎojǐnián méi jiànmiàn le 。
그 애랑 같이 놀아야겠구나.	王兰：你应该陪他玩儿玩儿	wánglán ： nǐ yīnggāi péi tā wánr wánr
이번 주에는 시간이 없어. 다음 주에 그림전시회를 보러 가자. 괜찮겠어?	大卫：这星期我没空儿，下星期我们再去看画展，可以吗？	dàwèi ： zhè xīngqī wǒ méi kòngr ， xiàxīngqī wǒmen zài qù kàn huàzhǎn ， kěyǐ mǎ ？
다시 물어보고 나중에 너에게 알려줄게.	王兰：我再问问，以后告诉你。	wánglán ： wǒ zài wènwèn ， yǐhòu gàosu nǐ 。
좋아.	大卫：好。	dàwèi ： hào 。
45	45	
미안해, 오래 기다렸지?	大卫：对不起，让你久等了。	dàwèi ： duìbuqǐ ， ràng nǐ jiǔděng le 。
8 시에 약속했는데 왜 8 시 반이 되서야 온거야?	玛丽：我们约好八点，你怎么八点半才来？	mǎlì ： wǒmen yuē hào bādiǎn ， nǐ zěnme bādiǎnbàn cái lái ？
늦게 와서 정말 미안해. 오는 길에 자전거가 고장났어.	大卫：真抱歉，我来晚了。半路上我的自行车坏了。	dàwèi ： zhēn bàoqiàn ， wǒlái wǎn le 。 bànlùshàng wǒ de zìxíngchē huài le 。
다 고쳤어?	玛丽：修好了吗？	mǎlì ： xiū hàolemǎ ？
응	大卫：修好了	dàwèi ： xiūhǎo le
네가 안 오는 줄 알았어.	玛丽：我想你可能不来了。	mǎlì ： wǒ xiǎng nǐ kěnéng bùlái le 。
그럴 리가. 내가 어떻게 안 올 수가 있겠니? 	大卫：说好的，我怎么能不来呢？	dàwèi ： shuōhǎo de ， wǒ zěnme néngbùlái ní ？
우리 빨리 극장에 들어가자.	玛丽：我们快进电影院去吧。	mǎlì ： wǒmen kuàijìn diànyǐngyuàn qù bā 。
그래.	大卫：好。	dàwèi ： hào 。
46	46	
리우징, 네 사전을 돌려줄게. 너무 오랫동안 썼지. 미안해	玛丽 : 刘京，还你词典，用的时间太长了, 请原谅!	mǎlì   :   liújīng ， hái nǐ cídiǎn ， yòng de shíjiān tàicháng le ,   qǐngyuánliàng !
괜찮아. 네가 써.	刘京 : 没关系，你用吧	liújīng   :   méiguānxi ， nǐ yòng bā
고맙지만 안 써도 돼. 나 일요일에 새 소설을 한 권 샀어.	玛丽 : 谢谢，不用了。星期日我买到一本新小说。	mǎlì   :   xièxie ， bùyòng le 。 xīngqīrì wǒ mǎi dào yìběn xīn xiǎoshuō 。
영문으로 된 거니, 아니면 중문으로 된 거니?	刘京 : 英文的还是中文的?	liújīng   :   yīngwén de háishi zhōngwén de ?
영문으로 된 거야. 아주 재미있어.	玛丽 : 英文的。很有意思。	mǎlì   :   yīngwén de 。 hěn yǒuyìsi 。
내가 읽고 이해할 수 있을까?	刘京 : 我能看懂吗? 	liújīng   :   wǒ néngkàndǒng mǎ ?  
넌 영어공부를 열심히 했으니까 이해할 수 있을거야.	玛丽 : 你英文学得不错，我想能看懂。	mǎlì   :   nǐ yīng wénxué de bùcuò ， wǒ xiǎng néngkàndǒng 。
그러면 내가 좀 보게 빌려줄 수 있겠니?	刘京 : 那借我看看，行吗?	liújīng   :   nàjiè wǒ kànkan ， xíng mǎ ?
당연히 되지.	玛丽 : 当然，可以。	mǎlì   :   dāngrán ， kěyǐ 。
47	47	
내가 이틀 없었는데 바닥이 왜 엉망징창이지?	尼娜 : 我两天不在，地上怎么乱七八糟的? 	nínà   :   wǒ liǎngtiān bùzài ， dìshang zěnme luànqībāzāo de ?  
네가 출장갈 때 창문을 안 닫은 거 아니야? 어제 바람이 셌어.	丽英 : 是不是你出差没关窗户? 昨天的风很大。	lìyīng   :   shìbùshì nǐ chūchāi méi guānchuānghù ?   zuótiān de fēng hěndà 。
아이쿠, 닫는 걸 깜빡했다. 야단났네.	尼娜 : 哎呀，忘关了，真糟糕!	nínà   :   āiyā ， wàngguān le ， zhēnzāogāo !
앞으로는 나갈 때 꼭 창문을 잘 닫아야 돼.	丽英 : 以后出门一定要关好窗户。	lìyīng   :   yǐhòu chūmén yīdìng yàoguān hào chuānghù 。
봐, 꽃병도 깨졌어.	尼娜 : 你看，花瓶也摔碎了	nínà   :   nǐ kàn ， huāpíng yě shuǎisuì le
데이빗이 너에게 선물한 그거야?	丽英 : 是大卫送给你的那个吗? 	lìyīng   :   shì dàwèi sònggěi nǐ de nàgè mǎ ?  
응, 그가 내 생일선물로 준거야.	尼娜 : 是，那是他给我的生日礼物。	nínà   :   shì ， nà shì tā gěi wǒ de shēngrilǐwù 。
너무 아깝다.	丽英 : 太可惜了。	lìyīng   :   tài kěxī le 。
48	48	
어제 리청르가 귀국했어.	刘京：昨天李成日回国了	liújīng ： zuótiān lǐchéng rì huíguó le
난 왜 몰랐지?	和子：我怎么不知道？	hézi ： wǒ zěnme bù zhīdào ？
회사에 급한 일이 있어서 그에게 즉시 귀국하라고 했대.	刘京：公司有急事，让他马上回国。	liújīng ： gōngsī yǒu jíshì ， ràng tā mǎshàng huíguó 。
정말 공교롭구나. 난 일이 있어서 그를 찾고 있는데.	和子：真不巧，我还有事找他呢。	hézi ： zhēn bùqiǎo ， wǒ háiyǒu shì zhǎo tā ní 。
어제 나와 그 애 모두 너에게 전화를 걸었었는데, 네가 없더라구.	刘京：昨天我和他都给你打电话了。 你不在	liújīng ： zuótiān wǒ hé tā dōu gěi nǐ dǎdiànhuà le 。   nǐ bùzài
난 장선생님댁에 있었어.	和子：我在张老师那儿。	hézi ： wǒ zai zhānglǎoshī nàr 。
그가 자주 연락하라고 너에게 전해달래.	刘京：他让我告诉你，多跟他联系	liújīng ： tā ràng wǒ gàosu nǐ ， duō gēn tā liánxì
그를 보지 못해서 정말 유감이다.	和子：真遗憾，我没见到他。	hézi ： zhēnyíhàn ， wǒ méi jiàndào tā 。
49	49	
너의 방은 인테리어가 정말 잘 되어있구나!	王兰：你的房间布置得好极了。	wánglán ： nǐ de fángjiān bùzhì de hàojíle 。
무슨, 그냥 그렇지.	玛丽：哪儿啊，马马虎虎。	mǎlì ： nǎr a ， mǎmahūhū 。
책상을 이 곳에 놓으니까 글씨를 쓰거나 책을 읽기에 아주 좋은 것 같아.	王兰：桌子放在这儿，写字看书都很好。	wánglán ： zhuōzi fàngzài zhèr ， xiězì kànshū dōu hěn hào 。
네가 보기에 옷장을 침대 옆으로 놓으니까 어떠니?	玛丽：你看，衣柜放在床旁边，怎么样？	mǎlì ： nǐ kàn ， yīguì fàngzài chuáng pángbiān ， zěnmeyàng ？
아주 좋아. 물건을 꺼내기도 편하고. 이 그림은 정말 아름답다!	王兰：很好。拿东西很方便。这张画儿真美 	wánglán ： hěn hào 。 ná dōngxi hěn fāngbiàn 。 zhèzhāng huàr zhēn měi  
그래? 산지 얼마 안됐어.	玛丽：是吗？ 刚买的。	mǎlì ： shì mǎ ？   gāngmǎi de 。
네 방은 깨끗하고 예쁘구나. 오늘 누가 오니?	王兰：你的房间又干净又漂亮。今天谁来啊？	wánglán ： nǐ de fángjiān yòu gānjìng yòu piàoliang 。 jīntiān shuí lái a ？
아무도 안 와. 곧 새해가 되니까.	玛丽：没有人来。新年快到了。	mǎlì ： méiyǒu rénlái 。 xīnnián kuaidào le 。
아. 내일 저녁에 댄스파티가 있어.	王兰：啊! 明天晚上有舞会。	wánglán ： a !   míngtiān wǎnshàng yǒu wǔhuì 。
정말? 그럼 우리 내일 저녁에 같이 춤추러 가자.	玛丽：真的？那明天晚上我们都去跳舞吧。	mǎlì ： zhēnde ？ nà míngtiān wǎnshàng wǒmen dōu qù tiàowǔ bā 。
50	50	
너 오늘 정말 예쁘게 입었구나!	王兰：你今天穿得真漂亮!	wánglán ： nǐ jīntiān chuān de zhēn piàoliang !
그래? 새해가 되었잖아. 네 옷이 더 예쁜데. 어디서 산거야?	玛丽：是吗？过新年了嘛。你的衣服更漂亮，在哪儿买的？	mǎlì ： shì mǎ ？ guò xīnnián le ma 。 nǐ de yīfú gēng piàoliang ， zai nǎr mǎi de ？
산 게 아니라 우리 엄마가 만들어 주신 거야.	王兰：不是买的，是我妈妈做的	wánglán ： bùshì mǎi de ， shì wǒ māma zuò de
너희 어머님은 정말 손재주가 좋으시구나. 옷의 스타일도 아주 좋고.	玛丽：你妈妈的手真巧，衣服的样子也很好。	mǎlì ： nǐ māma de shǒu zhēnqiǎo ， yīfú de yàngzi yě hěn hào 。
나도 좋다고 생각해.	王兰：我也觉得不错。	wánglán ： wǒ yě juéde bùcuò 。
난 이색이 정말 좋은데.	刘京：我很喜欢这个颜色。	liújīng ： wǒ hěn xǐhuān zhège yánsè 。
 네가 좋아한다면 네 여자친구에게 한 벌 만들어 줘. 	玛丽：要是你喜欢，就给你女朋友做一件。 	mǎlì ： yàoshi nǐ xǐhuān ， jiù gěi nǐ nǚpéngyou zuò yījiàn 。  
난 아직 여자 친구가 없는 걸.	刘京：我还没有女朋友呢。	liújīng ： wǒ hái méiyǒu nǚpéngyou ní 。
51.	51	
이번 시험의 성적은 어때?	这次考试成绩怎么样？	zhècì kǎoshìchéngjì zěnmeyàng ？
그런대로 괜찮아. 필기시험은 90점을 받았고 구술시험은 85점이야.	还可以。笔试九十分，口试八十五分。	hái kěyǐ 。 bǐshì jiǔ shífēn ， kǒushì bāshí wǔfēn 。
너 알고 있니? 그의 성적이 반 전체에서 1등이야.	你知道吗？他的成绩全班第一。	nǐ zhīdào mǎ ？ tā de chéngjì quánbān dìyī 。
시험을 정말 잘 봤구나. 축하해.	考得真好，祝贺你!	kǎode zhēnhǎo ， zhùhè nǐ !
메리도 시험 잘 봤어.	玛丽也考得不错。	mǎlì yě kǎode bùcuò 。
리우징과 왕란이 도와준데 대해 고마워해야지.	这要感谢刘京和王兰的帮助。	zhèyào gǎnxiè liújīng hé wánglán de bāngzhù 。
52.	52	
왕란, 생일 축하해!	王兰，祝你生日快乐!	wánglán ， zhù nǐ shēngrìkuàilè !
우리가 너에게 생일 케이크를 가져왔어. 항상 건강하길 바래!	我们送你一个生日蛋糕。祝你身体健康!	wǒmen sòng nǐ yīgè shēngridàngāo 。 zhù nǐ shēntǐjiànkāng !
고마워.	谢谢!	xièxie !
이건 내가 너에게 주는 꽃이야.	这是我给你的花儿。	zhè shì wǒ gěi nǐ de huār 。
이 꽃들 정말 예쁘다.	这些花儿真漂亮。	zhèxiē huār zhēn piàoliang 。
니나는 일이 있어서 못 오고, 네 생일 축하한대.	尼娜有事来不了，她祝你生日愉快。	nínuó yǒushì lái buliǎo ， tā zhù nǐ shēngrì yúkuài 。
고마워, 모두들 앉아.	谢谢! 大家请坐。	xièxie !   dàjiā qǐng zuò 。
너에게 선물을 하나 가져왔어. 받아	我送你一件礼物，请收下。	wǒ sòng nǐ yījiàn lǐwù ， qǐng shōuxià 。
그녀가 뭘 줬을지 알아맞춰봐.	你知道她送的什么吗?	nǐ zhīdào tā sòng de shénme mǎ ?
모르겠는데.	不知道。	bù zhīdào 。
상자를 열어봐.	你打开盒子看看。	nǐ dǎkāi hézi kànkan 。
아, 강아지네.	啊，是一只小狗。	a ， shì yīzhī xiǎogǒu 。
이거 정말 귀엽다.	这个小东西多可爱啊!	zhège xiǎodōngxī duō kěài a !
